motor_front,motor_back,pitch_filter,pitch_raw
507, 493, -0.672427, -0.017019
509, 491, -0.669457, -0.017618
509, 491, -0.667701, -0.069310
507, 493, -0.662254, -0.180055
508, 492, -0.660116, -0.085239
507, 493, -0.655033, -0.134162
508, 492, -0.651631, -0.131216
506, 494, -0.643369, -0.181239
507, 493, -0.639032, -0.174227
507, 493, -0.634905, -0.130013
506, 494, -0.626100, -0.058887
506, 494, -0.617548, -0.072575
506, 494, -0.609545, -0.110672
506, 494, -0.603605, -0.284667
505, 495, -0.598801, -0.335653
505, 495, -0.595192, -0.321995
505, 495, -0.591926, -0.306271
505, 495, -0.585389, -0.266708
505, 495, -0.578913, -0.400375
506, 494, -0.578282, -0.283810
503, 497, -0.561092, -0.053479
505, 495, -0.565110, -0.891153
510, 490, -0.577423, -0.207069
494, 506, -0.542419, -0.807003
503, 497, -0.550084, -1.319016
500, 500, -0.518602, 0.156586
500, 500, -0.509920, -0.952294
499, 501, -0.475367, 0.206238
497, 503, -0.450426, -0.424563
494, 506, -0.420037, -0.674473
489, 511, -0.381465, -0.874352
482, 518, -0.312030, -0.557171
476, 524, -0.236664, -1.066802
473, 527, -0.171562, -1.738235
464, 536, -0.082391, -1.905044
458, 542, 0.039511, -1.221744
450, 550, 0.183512, -1.120450
442, 558, 0.344979, -1.043237
433, 567, 0.532923, -0.849871
427, 573, 0.733444, -0.672803
417, 583, 0.961299, -0.408607
410, 590, 1.204071, -0.166929
413, 587, 1.457406, 1.373625
418, 582, 1.765927, 5.898332
430, 570, 2.055985, 7.797399
439, 561, 2.317321, 8.625875
448, 552, 2.499634, 6.620643
449, 551, 2.624243, 4.495780
451, 549, 2.670486, 1.032408
450, 550, 2.700207, 0.207370
451, 549, 2.723473, 0.032020
452, 548, 2.751336, 0.533008
454, 546, 2.776633, 0.781133
455, 545, 2.806321, 1.292160
454, 546, 2.840207, 1.336501
451, 549, 2.879631, 1.192605
450, 550, 2.912641, 0.884503
448, 552, 2.959614, 1.323699
445, 555, 3.047587, 3.028625
444, 556, 3.159734, 4.356827
446, 554, 3.285717, 5.610629
445, 555, 3.423135, 6.455391
444, 556, 3.547321, 5.924934
440, 560, 3.663055, 5.249317
436, 564, 3.764848, 4.105239
432, 568, 3.865064, 3.579191
425, 575, 3.974994, 3.212428
421, 579, 4.089828, 3.069893
419, 581, 4.203403, 3.083769
416, 584, 4.331881, 3.507926
414, 586, 4.486398, 3.490558
411, 589, 4.665938, 3.543375
407, 593, 4.846213, 3.979061
406, 594, 5.030647, 4.393117
407, 593, 5.190080, 4.569054
404, 596, 5.358097, 5.162664
405, 595, 5.576438, 5.786922
404, 596, 5.761292, 6.178643
403, 597, 5.911840, 6.343668
402, 598, 6.062271, 6.482723
403, 597, 6.191739, 6.791429
403, 597, 6.344508, 7.992448
404, 596, 6.479190, 8.085502
406, 594, 6.591857, 7.873434
406, 594, 6.693887, 7.545157
405, 595, 6.785733, 7.140412
403, 597, 6.862614, 6.297287
403, 597, 6.931943, 6.158310
402, 598, 7.001876, 6.256980
402, 598, 7.071797, 6.421255
403, 597, 7.137333, 6.560583
404, 596, 7.205969, 7.007550
408, 592, 7.266903, 7.325904
411, 589, 7.324345, 7.727317
416, 584, 7.371027, 7.940979
417, 583, 7.409198, 7.863939
420, 580, 7.425842, 7.342197
422, 578, 7.430945, 7.038948
422, 578, 7.431301, 6.795855
422, 578, 7.429783, 6.723631
423, 577, 7.425580, 6.756471
423, 577, 7.428257, 7.077312
423, 577, 7.434855, 7.215093
422, 578, 7.444330, 7.258816
423, 577, 7.452201, 7.277045
421, 579, 7.466694, 7.358284
421, 579, 7.490655, 7.905339
420, 580, 7.518734, 8.135890
420, 580, 7.552313, 8.461657
422, 578, 7.589633, 8.849454
423, 577, 7.623463, 9.050341
424, 576, 7.649736, 9.006526
427, 573, 7.665733, 8.906858
429, 571, 7.670238, 8.745033
431, 569, 7.663361, 8.348502
433, 567, 7.641943, 8.006627
435, 565, 7.603454, 7.332240
437, 563, 7.552405, 6.876481
437, 563, 7.496490, 6.427242
438, 562, 7.433345, 6.216702
438, 562, 7.372410, 6.115209
436, 564, 7.315029, 5.952490
436, 564, 7.259983, 5.830077
435, 565, 7.208845, 5.832486
432, 568, 7.166485, 5.533670
429, 571, 7.125594, 5.164807
428, 572, 7.091349, 5.065323
423, 577, 7.081861, 5.486293
420, 580, 7.091678, 6.023480
416, 584, 7.119765, 6.565845
414, 586, 7.163430, 7.018294
410, 590, 7.224042, 7.440751
409, 591, 7.293817, 7.869929
407, 593, 7.365811, 7.896930
405, 595, 7.441159, 7.960698
403, 597, 7.518501, 8.082988
404, 596, 7.595898, 8.278104
403, 597, 7.670822, 8.289739
403, 597, 7.742501, 8.343039
404, 596, 7.810375, 8.464792
406, 594, 7.870017, 8.387940
407, 593, 7.920705, 8.230383
406, 594, 7.957277, 7.555451
409, 591, 7.980496, 7.246230
410, 590, 7.994275, 6.981068
412, 588, 7.997612, 6.732540
412, 588, 7.996777, 6.527883
411, 589, 7.996720, 6.420263
411, 589, 7.999563, 6.613828
410, 590, 8.006147, 6.842287
410, 590, 8.018350, 7.086122
409, 591, 8.039303, 7.394089
409, 591, 8.073327, 8.042671
409, 591, 8.107963, 8.264482
409, 591, 8.148429, 8.614038
409, 591, 8.192274, 8.891855
409, 591, 8.236209, 9.082911
410, 590, 8.281157, 9.253732
409, 591, 8.328140, 9.374687
409, 591, 8.373383, 9.433950
409, 591, 8.416088, 9.412969
410, 590, 8.451877, 9.236246
411, 589, 8.478970, 8.961954
411, 589, 8.498538, 8.692938
412, 588, 8.511885, 8.596968
412, 588, 8.519482, 8.340429
412, 588, 8.519752, 8.061520
413, 587, 8.516076, 7.908736
413, 587, 8.500497, 7.354454
415, 585, 8.479487, 7.253406
416, 584, 8.457091, 7.242945
416, 584, 8.429589, 7.222447
416, 584, 8.404813, 7.331203
418, 582, 8.385106, 7.657316
420, 580, 8.365845, 7.934894
420, 580, 8.351236, 8.121572
421, 579, 8.336276, 8.293446
423, 577, 8.324705, 8.634373
424, 576, 8.315085, 8.895777
426, 574, 8.304380, 9.178938
428, 572, 8.291395, 9.152363
428, 572, 8.278551, 9.163010
430, 570, 8.263312, 9.266091
430, 570, 8.247039, 9.309992
432, 568, 8.224378, 9.152254
432, 568, 8.199607, 9.006093
434, 566, 8.163838, 8.663747
431, 569, 8.128936, 8.288221
432, 568, 8.087134, 7.900123
432, 568, 8.033898, 7.170723
431, 569, 7.975690, 6.736996
431, 569, 7.913140, 6.384305
430, 570, 7.852450, 6.136962
430, 570, 7.793195, 5.967907
429, 571, 7.738871, 6.008682
429, 571, 7.692238, 6.255409
429, 571, 7.652542, 6.468276
429, 571, 7.616053, 6.572237
429, 571, 7.585671, 6.758986
429, 571, 7.564082, 7.183274
429, 571, 7.547857, 7.466331
429, 571, 7.535950, 7.662640
431, 569, 7.524117, 7.938902
432, 568, 7.518509, 8.267891
432, 568, 7.518222, 8.655758
433, 567, 7.518131, 8.683387
433, 567, 7.517828, 8.698008
434, 566, 7.511476, 8.600503
433, 567, 7.501166, 8.218021
431, 569, 7.462312, 6.390776
426, 574, 7.420679, 5.361447
422, 578, 7.380613, 4.573691
417, 583, 7.346658, 4.200545
412, 588, 7.330866, 4.314604
409, 591, 7.333866, 4.802750
406, 594, 7.368825, 5.899168
405, 595, 7.414046, 6.492472
405, 595, 7.468658, 6.953745
403, 597, 7.531810, 7.304759
404, 596, 7.597190, 7.646636
403, 597, 7.676897, 8.501123
404, 596, 7.756069, 8.826831
404, 596, 7.836967, 9.145907
405, 595, 7.917172, 9.396605
407, 593, 7.989289, 9.479650
408, 592, 8.048895, 9.191851
407, 593, 8.102177, 8.944762
408, 592, 8.146095, 8.689557
410, 590, 8.181801, 8.482951
407, 593, 8.211511, 8.050050
407, 593, 8.222972, 7.096517
405, 595, 8.230227, 6.670930
404, 596, 8.237908, 6.375709
401, 599, 8.250133, 6.154696
399, 601, 8.267904, 6.116468
395, 605, 8.299697, 6.220428
393, 607, 8.335923, 6.356793
392, 608, 8.382683, 6.702296
390, 610, 8.447177, 7.846785
389, 611, 8.523697, 8.349406
389, 611, 8.601506, 8.770508
390, 610, 8.685160, 9.244574
390, 610, 8.775244, 9.737323
389, 611, 8.869489, 10.160524
390, 610, 8.959584, 10.190193
389, 611, 9.042553, 9.933676
384, 616, 9.124185, 9.456171
378, 622, 9.207280, 8.846112
373, 627, 9.290575, 8.214272
369, 631, 9.380965, 8.161572
365, 635, 9.485599, 8.563251
361, 639, 9.607821, 9.251665
360, 640, 9.742469, 9.971389
358, 642, 9.891948, 10.709904
357, 643, 10.036301, 10.720660
358, 642, 10.161214, 10.211775
357, 643, 10.270566, 9.623059
356, 644, 10.372989, 9.356843
355, 645, 10.474130, 9.388748
356, 644, 10.570191, 9.527994
355, 645, 10.666286, 9.590648
354, 646, 10.760091, 9.625492
353, 647, 10.852860, 9.702997
353, 647, 10.944173, 9.792939
352, 648, 11.030063, 9.686192
349, 651, 11.121674, 9.771528
347, 653, 11.216372, 9.841611
346, 654, 11.312425, 9.951621
344, 656, 11.415606, 10.253309
341, 659, 11.550667, 11.696335
339, 661, 11.700727, 12.592940
339, 661, 11.860262, 13.301829
334, 666, 12.027905, 13.529600
333, 667, 12.189677, 13.175643
330, 670, 12.322905, 11.967969
329, 671, 12.451920, 11.799859
328, 672, 12.583015, 12.077053
326, 674, 12.718887, 12.577324
325, 675, 12.864049, 13.139399
324, 676, 13.004283, 13.128411
325, 675, 13.127962, 12.774981
323, 677, 13.246439, 12.386714
324, 676, 13.353530, 12.323285
326, 674, 13.459745, 12.874529
326, 674, 13.580932, 13.795171
324, 676, 13.699643, 13.659622
326, 674, 13.795190, 13.009927
322, 678, 13.890115, 12.685574
317, 683, 13.988700, 12.433484
319, 681, 14.099159, 13.468082
317, 683, 14.219865, 14.053675
310, 690, 14.342164, 13.435451
310, 690, 14.460475, 13.427297
308, 692, 14.594416, 14.241509
303, 697, 14.742449, 14.662492
303, 697, 14.885581, 14.652905
299, 701, 15.042368, 15.280602
298, 702, 15.207662, 15.901327
297, 703, 15.370283, 16.010172
296, 704, 15.528846, 16.069155
296, 704, 15.677864, 15.986739
297, 703, 15.817555, 16.124237
297, 703, 15.942756, 15.621229
295, 705, 16.055344, 15.035537
295, 705, 16.156721, 14.657572
294, 706, 16.279497, 15.753557
294, 706, 16.410633, 16.571262
292, 708, 16.549028, 16.972425
289, 711, 16.693995, 17.155685
285, 715, 16.848606, 17.532402
282, 718, 16.994061, 16.855747
275, 725, 17.150057, 16.911240
272, 728, 17.306475, 16.833540
272, 728, 17.457048, 16.908388
271, 729, 17.610672, 17.383934
270, 730, 17.757957, 17.194405
269, 731, 17.903149, 17.343885
269, 731, 18.050465, 17.717699
268, 732, 18.199730, 18.045670
270, 730, 18.337334, 18.116507
277, 723, 18.461451, 18.757694
285, 715, 18.548872, 18.400753
283, 717, 18.627995, 17.912521
280, 720, 18.712761, 18.017324
286, 714, 18.784618, 18.338123
289, 711, 18.836250, 17.906141
293, 707, 18.884146, 18.345081
296, 704, 18.922134, 18.576550
298, 702, 18.953207, 18.482855
296, 704, 19.001135, 19.171501
293, 707, 19.062244, 19.530163
289, 711, 19.139269, 19.891838
289, 711, 19.219620, 20.287949
289, 711, 19.293667, 20.097427
287, 713, 19.370567, 20.176556
287, 713, 19.443459, 20.168726
285, 715, 19.521578, 20.400888
283, 717, 19.601469, 20.371878
279, 721, 19.679956, 19.839016
277, 723, 19.759295, 19.754507
274, 726, 19.842148, 19.674456
271, 729, 19.922512, 19.397829
272, 728, 19.997478, 19.434862
273, 727, 20.056110, 19.003860
273, 727, 20.118872, 19.313971
272, 728, 20.193848, 19.797337
268, 732, 20.252375, 18.689405
269, 731, 20.324448, 19.692595
272, 728, 20.392738, 20.010567
275, 725, 20.434547, 19.306332
277, 723, 20.477209, 19.765896
275, 725, 20.544313, 20.914768
270, 730, 20.612829, 20.408533
265, 735, 20.703159, 20.889641
260, 740, 20.803234, 20.902044
259, 741, 20.887959, 20.195059
258, 742, 20.989735, 21.060602
255, 745, 21.084297, 20.608347
249, 751, 21.193382, 20.703220
243, 757, 21.335976, 21.803703
241, 759, 21.477940, 21.827324
241, 759, 21.600281, 21.258133
246, 754, 21.709032, 21.549253
248, 752, 21.797121, 20.961027
243, 757, 21.879900, 20.254642
242, 758, 21.957775, 20.076220
247, 753, 22.044451, 21.348541
250, 750, 22.108541, 20.993057
250, 750, 22.168947, 20.715647
245, 755, 22.248774, 21.279888
249, 751, 22.319988, 21.666941
252, 748, 22.387419, 21.950832
248, 752, 22.474384, 22.559706
243, 757, 22.577925, 22.917479
240, 760, 22.675100, 22.470551
241, 759, 22.765255, 22.377451
236, 764, 22.888218, 23.672829
233, 767, 23.024071, 24.156660
232, 768, 23.147875, 23.740799
230, 770, 23.270739, 23.639826
226, 774, 23.408821, 24.207806
225, 775, 23.533394, 23.711899
227, 773, 23.637129, 23.302492
227, 773, 23.732094, 23.073978
225, 775, 23.839970, 23.671627
229, 771, 23.933144, 23.798256
238, 762, 23.985403, 23.094027
236, 764, 24.031931, 22.769526
237, 763, 24.089205, 23.415798
245, 755, 24.124237, 23.692015
251, 749, 24.138868, 23.555655
245, 755, 24.170671, 23.592480
241, 759, 24.210115, 23.597019
246, 754, 24.235670, 23.706436
241, 759, 24.271908, 23.547642
234, 766, 24.327822, 23.695026
235, 765, 24.387621, 24.096708
238, 762, 24.467813, 25.646338
233, 767, 24.552711, 25.403883
228, 772, 24.644306, 25.154686
228, 772, 24.747601, 25.332867
227, 773, 24.863274, 25.710218
227, 773, 24.959303, 25.378925
222, 778, 25.068254, 24.725994
222, 778, 25.168943, 24.899038
219, 781, 25.269648, 24.623581
217, 783, 25.362532, 24.335161
219, 781, 25.442844, 24.781828
219, 781, 25.516579, 24.421871
223, 777, 25.591465, 24.361975
225, 775, 25.660673, 25.506084
228, 772, 25.707674, 25.617611
228, 772, 25.753403, 24.755791
222, 778, 25.793673, 24.471977
217, 783, 25.851728, 24.987240
222, 778, 25.906368, 25.689169
221, 779, 25.984800, 26.895948
214, 786, 26.078142, 26.865465
221, 779, 26.144812, 26.675850
220, 780, 26.204613, 26.449446
218, 782, 26.274036, 26.694546
221, 779, 26.326326, 26.441603
228, 772, 26.349434, 26.163935
230, 770, 26.362310, 25.924183
234, 766, 26.365698, 26.049934
243, 757, 26.341961, 26.075924
248, 752, 26.298452, 25.650181
250, 750, 26.240429, 25.282085
257, 743, 26.169069, 25.303835
264, 736, 26.084543, 25.581547
269, 731, 25.995649, 25.863987
270, 730, 25.899437, 25.303888
271, 729, 25.800739, 25.224195
274, 726, 25.714197, 26.126139
276, 724, 25.638083, 26.622355
278, 722, 25.560968, 26.632603
277, 723, 25.494949, 26.919180
275, 725, 25.450012, 27.596931
272, 728, 25.419441, 27.762314
274, 726, 25.371603, 27.061848
276, 724, 25.313219, 26.752577
276, 724, 25.259724, 26.769730
271, 729, 25.200499, 25.619661
270, 730, 25.146639, 25.584854
275, 725, 25.079468, 25.578609
282, 718, 24.986450, 25.034212
289, 711, 24.879717, 25.141953
294, 706, 24.759642, 24.921988
298, 702, 24.619793, 24.268517
301, 699, 24.475410, 24.092697
309, 691, 24.301949, 23.426420
319, 681, 24.090748, 22.385164
325, 675, 23.882685, 22.896299
330, 670, 23.668146, 22.742708
332, 668, 23.455494, 22.767822
333, 667, 23.266785, 23.485319
333, 667, 23.084215, 23.351351
333, 667, 22.897289, 22.665071
331, 669, 22.725744, 22.896101
330, 670, 22.573704, 23.174641
326, 674, 22.444700, 23.531717
324, 676, 22.321615, 23.161333
321, 679, 22.200878, 22.579426
322, 678, 22.082647, 22.499981
322, 678, 21.981674, 22.964384
322, 678, 21.888704, 23.225838
324, 676, 21.785414, 22.831446
328, 672, 21.653965, 21.737722
334, 666, 21.510475, 21.644939
342, 658, 21.349669, 21.537054
350, 650, 21.169788, 21.342390
357, 643, 20.968384, 20.757877
366, 634, 20.701427, 18.273880
373, 627, 20.416769, 17.694857
379, 621, 20.128155, 17.736843
385, 615, 19.846725, 18.163431
390, 610, 19.564857, 18.201370
392, 608, 19.282932, 17.805578
394, 606, 19.001204, 17.494793
394, 606, 18.733622, 17.516171
397, 603, 18.475685, 17.765648
397, 603, 18.227957, 18.223637
395, 605, 18.012308, 18.706100
395, 605, 17.811880, 18.781775
394, 606, 17.632530, 19.109636
392, 608, 17.472580, 19.344728
392, 608, 17.318865, 19.384905
394, 606, 17.156319, 18.773853
396, 604, 16.986624, 18.251627
393, 607, 16.817820, 17.569645
391, 609, 16.651871, 16.959257
391, 609, 16.484600, 16.320522
392, 608, 16.305233, 15.660021
397, 603, 16.129015, 15.969433
401, 599, 15.955476, 16.383585
407, 593, 15.780914, 16.575405
415, 585, 15.585450, 16.233652
421, 579, 15.350037, 14.624381
423, 577, 15.099025, 13.562161
425, 575, 14.832715, 12.549024
427, 573, 14.558041, 11.601006
430, 570, 14.279957, 11.157584
430, 570, 14.025352, 11.865870
431, 569, 13.798799, 12.724181
435, 565, 13.583248, 13.239372
436, 564, 13.382694, 13.733531
437, 563, 13.183232, 13.422915
439, 561, 12.973163, 12.649491
440, 560, 12.765282, 12.437553
442, 558, 12.564384, 12.657462
446, 554, 12.366412, 12.795745
447, 553, 12.178708, 12.960623
448, 552, 11.980020, 12.109369
448, 552, 11.775522, 11.279513
446, 554, 11.569723, 10.441150
445, 555, 11.366317, 9.876365
444, 556, 11.172369, 9.748142
444, 556, 10.995134, 10.117028
445, 555, 10.822416, 10.219196
447, 553, 10.656720, 10.283034
448, 552, 10.491765, 10.091730
450, 550, 10.326516, 10.100960
453, 547, 10.159106, 9.887651
457, 543, 9.985285, 10.057222
460, 540, 9.818205, 10.102965
464, 536, 9.642843, 9.871521
468, 532, 9.464735, 9.814624
470, 530, 9.268387, 8.827337
471, 529, 9.071956, 8.366436
472, 528, 8.865378, 7.650162
472, 528, 8.659627, 7.032276
472, 528, 8.457443, 6.861304
475, 525, 8.274236, 7.712502
479, 521, 8.098413, 8.086028
483, 517, 7.924551, 8.542966
489, 511, 7.751112, 8.958925
493, 507, 7.575416, 8.946921
499, 501, 7.389147, 8.820732
504, 496, 7.183825, 8.165843
507, 493, 6.955103, 7.074632
507, 493, 6.722596, 6.225214
509, 491, 6.483047, 5.495690
508, 492, 6.237512, 4.475138
510, 490, 5.998640, 4.357483
507, 493, 5.775403, 4.245060
506, 494, 5.561334, 4.016042
506, 494, 5.357975, 3.997825
506, 494, 5.170270, 4.333601
505, 495, 5.001601, 4.834759
508, 492, 4.836868, 4.894072
509, 491, 4.677128, 4.953806
511, 489, 4.517060, 4.894021
515, 485, 4.356153, 4.935074
517, 483, 4.192181, 4.654183
518, 482, 4.021252, 4.139558
519, 481, 3.848622, 3.727549
521, 479, 3.671524, 3.431348
524, 476, 3.492679, 3.241688
525, 475, 3.315542, 3.096217
527, 473, 3.141595, 3.142389
530, 470, 2.971115, 3.223660
534, 466, 2.795036, 3.169946
535, 465, 2.621318, 3.097052
537, 463, 2.431450, 2.085687
